750,81,857,81,857,116,750,116
178,81,341,86,340,125,176,120
347,84,601,86,601,124,346,122
611,84,744,84,744,121,611,121
680,126,756,126,756,155,680,155
274,129,404,127,405,156,275,158
555,127,679,127,679,156,555,156
408,129,448,129,448,156,408,156
448,129,555,129,555,156,448,156
59,214,158,214,158,233,59,233
158,215,208,217,207,235,157,233
422,216,480,216,480,235,422,235
206,217,228,217,228,233,206,233
369,217,414,217,414,238,369,238
369,233,558,233,558,275,369,275
57,240,265,240,265,272,57,272
401,312,440,312,440,331,401,331
369,312,402,315,401,331,368,329
438,315,492,315,492,331,438,331
369,336,488,336,488,369,369,369
494,336,572,336,572,371,494,371
366,409,412,409,412,428,366,428
681,409,729,409,729,427,681,427
411,411,459,411,459,428,411,428
460,411,539,411,539,428,460,428
617,411,672,411,672,430,617,430
672,414,681,414,681,428,672,428
619,433,678,433,678,465,619,465
364,435,408,435,408,467,364,467
409,435,531,435,531,467,409,467
812,443,978,439,979,478,812,482
424,506,510,510,510,531,423,527
672,507,740,507,740,524,672,524
362,510,425,508,426,530,363,532
616,508,672,508,672,529,616,529
329,511,554,533,549,586,323,565
616,531,747,531,747,566,616,566
746,595,889,573,900,639,756,661
363,606,425,606,425,627,363,627
422,606,470,606,470,625,422,625
471,608,539,606,539,623,472,625
614,607,655,610,654,628,613,625
664,608,723,608,723,627,664,627
363,632,451,632,451,664,363,664
446,632,531,632,531,664,446,664
