578,160,700,158,701,190,579,192
712,160,809,160,809,188,712,188
334,164,566,161,566,193,334,196
184,166,324,166,324,196,184,196
646,200,716,200,716,222,646,222
528,201,641,201,641,224,528,224
272,203,387,203,387,227,272,227
430,203,524,203,524,225,430,225
392,204,425,204,425,225,392,225
212,257,236,257,236,273,212,273
238,257,298,259,297,275,237,273
300,257,323,257,323,273,300,273
89,259,120,259,120,276,89,276
124,259,172,259,172,275,124,275
176,259,198,259,198,275,176,275
201,260,211,260,211,273,201,273
105,286,272,286,272,312,105,312
350,345,408,347,407,366,349,363
420,345,491,345,491,363,420,363
409,348,417,348,417,361,409,361
353,369,456,369,456,393,353,393
393,409,440,409,440,427,393,427
348,411,379,411,379,427,348,427
380,412,390,412,390,425,380,425
443,411,512,411,512,428,443,428
356,433,508,433,508,460,356,460
534,473,572,473,572,491,534,491
350,475,408,475,408,494,350,494
411,475,456,475,456,491,411,491
473,475,512,475,512,492,473,492
515,475,532,475,532,491,515,491
590,474,662,476,662,495,589,493
675,475,739,475,739,492,675,492
664,478,672,478,672,491,664,491
592,500,614,500,614,526,592,526
638,500,665,500,665,526,638,526
616,502,632,502,632,526,616,526
353,504,385,504,385,526,353,526
390,504,430,504,430,526,390,526
428,504,489,504,489,526,428,526
803,515,896,515,896,537,803,537
348,540,382,540,382,556,348,556
385,540,409,540,409,558,385,558
424,540,507,540,507,558,424,558
508,540,534,540,534,558,508,558
592,542,654,542,654,564,592,564
665,542,753,543,753,561,665,559
347,563,499,563,499,592,347,592
592,564,718,564,718,595,592,595
347,600,380,600,380,617,347,617
384,601,459,601,459,620,384,620
473,601,513,601,513,619,473,619
516,601,555,601,555,619,516,619
592,601,649,605,647,623,590,619
662,602,742,606,742,625,661,621
347,624,497,624,497,652,347,652
846,625,867,625,867,656,846,656
785,624,832,630,829,656,781,650
