176,38,335,43,334,83,175,79
342,42,595,48,595,89,341,84
608,48,738,50,737,89,607,87
748,51,852,51,852,88,748,88
272,91,400,94,399,125,271,121
403,96,441,96,441,124,403,124
444,95,550,97,550,127,444,125
550,97,673,97,673,128,550,128
676,100,752,100,752,129,676,129
68,158,104,158,104,182,68,182
108,160,164,160,164,182,108,182
164,161,193,161,193,184,164,184
195,163,204,163,204,180,195,180
208,161,238,161,238,184,208,184
236,163,303,166,302,187,235,184
304,164,332,164,332,185,304,185
78,191,311,195,310,237,77,233
358,282,422,286,420,311,356,306
433,282,512,285,511,307,432,303
420,286,430,286,430,302,420,302
358,310,462,310,462,347,358,347
356,366,390,366,390,388,356,388
389,366,455,370,454,390,387,386
457,367,533,371,532,394,456,390
355,396,496,396,496,432,355,432
355,450,421,454,420,479,353,475
422,451,472,451,472,475,422,475
488,452,531,452,531,475,488,475
532,454,555,454,555,476,532,476
555,454,596,454,596,476,555,476
614,455,692,459,690,483,613,479
702,456,772,460,770,482,701,479
692,460,700,460,700,475,692,475
352,481,446,481,446,516,352,516
443,483,516,483,516,518,443,518
612,486,694,486,694,524,612,524
836,512,921,512,921,540,836,540
353,536,392,536,392,560,353,560
392,537,420,537,420,560,392,560
435,536,527,541,526,564,434,559
526,539,555,539,555,561,526,561
614,540,692,544,690,571,613,567
693,541,788,548,786,572,691,565
350,568,516,568,516,604,350,604
612,570,751,573,750,614,612,611
350,616,388,616,388,638,350,638
390,617,474,619,473,644,389,642
486,619,531,619,531,641,486,641
532,619,576,619,576,641,532,641
613,617,677,627,673,650,610,640
688,621,775,629,773,655,686,647
350,648,398,648,398,681,350,681
393,648,441,648,441,683,393,683
440,648,513,648,513,684,440,684
878,652,915,652,915,692,878,692
816,651,870,659,866,692,811,684
